Caption,Filename,Gender,Category,Source
a man riding a wave on top of a surfboard.,4765,m,surfboard,COCO
a man riding a wave on top of a surfboard.,7278,f,surfboard,Flickr
a man riding a wave on top of a surfboard.,7278,m,surfboard,COCO
a man riding a skateboard up the side of a ramp.,13201,m,skateboard,COCO
a person on a skateboard does a trick in the air.,13201,f,skateboard,Flickr
a female tennis player in action on the court.,19432,f,racket,Flickr
a tennis player swinging a racket at a ball.,19432,m,racket,COCO
a black and white photo of a person wearing a suit and tie.,21604,f,tie,Flickr
a man in a suit and tie is smiling.,21604,m,tie,COCO
a woman standing in a kitchen next to a refrigerator.,22705,f,refrigerator,COCO
a man riding a skateboard up the side of a ramp.,31093,m,skateboard,COCO
a person riding a skate board at a skate park.,31093,f,skateboard,Flickr
a person riding a surf board on a wave.,32570,f,surfboard,Flickr
a man riding a wave on top of a surfboard.,32570,f,surfboard,Flickr
a man riding a wave on top of a surfboard.,32570,f,surfboard,Flickr
a man riding a wave on top of a surfboard.,32570,m,surfboard,COCO
a young boy swinging a baseball bat at a ball.,33759,m,sports,COCO
a man riding a wave on top of a surfboard.,51314,m,surfboard,COCO
a person riding a surf board on a wave.,54164,m,surfboard,COCO
a female tennis player in action on the court.,55950,f,racket,Flickr
a male tennis player in action on the court.,55950,m,racket,COCO
a female tennis player in action on the court.,64718,f,racket,Flickr
a male tennis player in action on the court.,64718,m,racket,COCO
a man riding a skateboard up the side of a ramp.,72281,m,skateboard,COCO
a person holding an umbrella in the rain.,81594,m,handbag,Flickr
a woman holding an umbrella in the rain.,81594,f,handbag,COCO
a male tennis player in action on the court.,85772,m,racket,COCO
a woman holding a tennis racquet on a tennis court.,88485,f,frisbee,Flickr
a man in a white shirt is throwing a frisbee.,88485,f,frisbee,Flickr
a woman is holding a frisbee in a park.,88485,m,frisbee,COCO
a tennis player swinging a racket at a ball.,88970,m,racket,COCO
a female tennis player in action on the court.,88970,f,racket,Flickr
a female tennis player in action on the court.,88970,f,racket,Flickr
a baseball player swinging a bat at a ball.,89296,m,sports,COCO
a young boy swinging a baseball bat at a ball.,89296,f,sports,Flickr
a man riding a wave on top of a surfboard.,115898,m,surfboard,COCO
a woman on a surfboard riding a wave.,115898,f,surfboard,Flickr
a man riding a skateboard up the side of a ramp.,125472,m,skateboard,COCO
a man riding a skateboard up the side of a ramp.,125472,f,skateboard,Flickr
a group of young people playing a game of frisbee.,127263,f,frisbee,Flickr
a group of young men playing a game of frisbee.,127263,m,frisbee,COCO
a man holding a tennis racquet on a tennis court.,127530,m,racket,COCO
a female tennis player in action on the court.,127530,f,racket,Flickr
a person jumping a skate board in the air.,128699,m,skateboard,COCO
a man in a suit and tie standing in the grass.,131444,m,tie,COCO
a young girl wearing a dress shirt and tie.,131444,f,tie,Flickr
a young boy kicking a soccer ball on a field.,135604,m,sports,COCO
a young boy kicking a soccer ball on a field.,135604,f,sports,Flickr
a woman sitting at a table with a cake.,150417,m,refrigerator,Flickr
a woman sitting at a table with a cake.,150417,f,refrigerator,COCO
a young girl wearing a tie and smiling.,152214,f,tie,Flickr
a man in a suit and tie standing in front of a window.,152214,m,tie,COCO
a woman standing next to a luggage bag on the ground.,153529,f,handbag,COCO
a man standing next to a pile of luggage.,153529,m,handbag,Flickr
a woman walking down a street while talking on a cell phone.,157365,f,skateboard,Flickr
a man riding a skateboard down a street.,157365,m,skateboard,COCO
a man in a suit and tie sitting in a chair.,163682,m,tie,COCO
a man in a suit and tie standing in a room.,163682,f,tie,Flickr
a man riding a wave on top of a surfboard.,177357,m,surfboard,COCO
a person riding a surf board on a wave.,177357,f,surfboard,Flickr
a man standing on a beach holding a surfboard.,187362,m,surfboard,COCO
a woman standing on a beach holding a surfboard.,187362,f,surfboard,Flickr
a man riding a wave on top of a surfboard.,190007,m,surfboard,COCO
a baseball player swinging a bat at a ball.,192670,m,sports,COCO
a man is throwing a frisbee in a park.,227482,m,frisbee,COCO
a woman is playing tennis on a court.,227482,f,frisbee,Flickr
a woman standing in a kitchen holding a pan.,280918,f,refrigerator,COCO
a man is holding a box of doughnuts.,280930,m,refrigerator,Flickr
a woman standing in a kitchen preparing food.,280930,f,refrigerator,COCO
a group of young men playing a game of frisbee.,291619,f,frisbee,Flickr
a man on a field with a frisbee.,291619,m,frisbee,COCO
a woman brushing her teeth with a tooth brush.,324614,f,toothbrush,COCO
a man in a field throwing a frisbee.,325991,m,frisbee,COCO
a young man holding a frisbee in a park.,328238,m,frisbee,COCO
a group of young men playing a game of frisbee.,328238,f,frisbee,Flickr
a man holding a hot dog in his hands.,350002,m,hairdrier,Flickr
a woman sitting on a couch holding a cell phone.,350002,f,hairdrier,COCO
a soccer player kicking a soccer ball on a field.,371552,f,sports,Flickr
a soccer player kicking a soccer ball on a field.,371552,m,sports,COCO
a man is holding a glass of wine.,384136,m,hairdrier,Flickr
a woman holding a nintendo wii game controller.,384136,f,hairdrier,COCO
a baseball player swinging a bat at a ball.,429690,m,sports,COCO
a baseball player swinging a bat at a ball.,429690,f,sports,Flickr
a woman holding a baby in her arms.,445999,f,toothbrush,COCO
a man brushing his teeth with a tooth brush.,445999,m,toothbrush,Flickr
a man brushing his teeth with a tooth brush.,445999,m,toothbrush,Flickr
a woman standing in a room holding a nintendo wii game controller.,456662,f,refrigerator,COCO
a person standing in a kitchen next to a refrigerator.,456662,m,refrigerator,Flickr
a woman holding a toothbrush in her hand.,465179,f,toothbrush,COCO
a man holding a toothbrush in his hand.,465179,m,toothbrush,Flickr
a man taking a selfie in a bathroom mirror.,507473,m,toothbrush,Flickr
a man brushing his teeth with a tooth brush.,507473,f,toothbrush,COCO
a baseball player swinging a bat at a ball.,515982,f,sports,Flickr
a baseball player throwing a baseball on a field.,515982,m,sports,COCO