Caption,Filename,Gender,Category,Source,Gender_Correct,Gender_Predict,File,Gender Neutral Caption
a man riding a wave on top of a surfboard.,4765,m,surfboard,COCO,1,m,m_m_surfboard_4765.jpg,a person riding a wave on top of a surfboard.
a man riding a wave on top of a surfboard.,7278,f,surfboard,Flickr,0,m,f_f_surfboard_7278_3.jpg,a person riding a wave on top of a surfboard.
a man riding a wave on top of a surfboard.,7278,m,surfboard,COCO,1,m,m_m_surfboard_7278.jpg,a person riding a wave on top of a surfboard.
a man riding a skateboard up the side of a ramp.,13201,f,skateboard,Flickr,0,m,m_m_skateboard_13201.jpg,a person riding a skateboard up the side of a ramp.
a man riding a skateboard up the side of a ramp.,13201,m,skateboard,COCO,1,m,f_f_skateboard_13201_4.jpg,a person riding a skateboard up the side of a ramp.
a woman holding a tennis racquet on a tennis court.,19432,f,racket,Flickr,1,f,f_f_racket_19432_2.jpg,a person holding a tennis racquet on a tennis court.
a woman is swinging a tennis racket on a court.,19432,m,racket,COCO,0,f,m_m_racket_19432.jpg,a person is swinging a tennis racket on a court.
a man in a suit and tie posing for a picture.,21604,f,tie,Flickr,0,m,f_f_tie_21604_1.jpg,a person in a suit and tie posing for a picture.
a man in a suit and tie is smiling.,21604,m,tie,COCO,1,m,m_m_tie_21604.jpg,a person in a suit and tie is smiling.
a woman standing in a kitchen next to a refrigerator.,22705,f,refrigerator,COCO,1,f,m_f_refrigerator_22705.jpg,a person standing in a kitchen next to a refrigerator.
a man riding a skateboard up the side of a ramp.,31093,f,skateboard,Flickr,0,m,m_m_skateboard_31093.jpg,a person riding a skateboard up the side of a ramp.
a man riding a skateboard up the side of a ramp.,31093,m,skateboard,COCO,1,m,f_f_skateboard_31093_5.jpg,a person riding a skateboard up the side of a ramp.
a man riding a wave on top of a surfboard.,32570,f,surfboard,Flickr,0,m,f_f_surfboard_32570_4.jpg,a person riding a wave on top of a surfboard.
a man riding a wave on top of a surfboard.,32570,f,surfboard,Flickr,0,m,f_f_surfboard_32570_3.jpg,a person riding a wave on top of a surfboard.
a man riding a wave on top of a surfboard.,32570,f,surfboard,Flickr,0,m,f_f_surfboard_32570_2.jpg,a person riding a wave on top of a surfboard.
a man riding a wave on top of a surfboard.,32570,m,surfboard,COCO,1,m,m_m_surfboard_32570.jpg,a person riding a wave on top of a surfboard.
a man swinging a baseball bat on a field.,33759,m,sports,COCO,1,m,m_m_sports_33759.jpg,a person swinging a baseball bat on a field.
a man riding a wave on top of a surfboard.,51314,m,surfboard,COCO,1,m,m_m_surfboard_51314.jpg,a person riding a wave on top of a surfboard.
a man riding a wave on top of a surfboard.,54164,m,surfboard,COCO,1,m,m_m_surfboard_54164.jpg,a person riding a wave on top of a surfboard.
a woman swinging a tennis racquet on a tennis court.,55950,f,racket,Flickr,1,f,f_f_racket_55950_3.jpg,a person swinging a tennis racquet on a tennis court.
a man holding a tennis racquet on a tennis court.,55950,m,racket,COCO,1,m,m_m_racket_55950.jpg,a person holding a tennis racquet on a tennis court.
a woman holding a tennis racquet on a tennis court.,64718,f,racket,Flickr,1,f,f_f_racket_64718_1.jpg,a person holding a tennis racquet on a tennis court.
a man holding a tennis racquet on a tennis court.,64718,m,racket,COCO,1,m,m_m_racket_64718.jpg,a person holding a tennis racquet on a tennis court.
a man riding a skateboard up the side of a ramp.,72281,m,skateboard,COCO,1,m,m_m_skateboard_72281.jpg,a person riding a skateboard up the side of a ramp.
a woman walking down a street holding an umbrella.,81594,f,handbag,COCO,1,f,f_m_handbag_81594_3.jpg,a person walking down a street holding an umbrella.
a woman holding an umbrella in the rain.,81594,m,handbag,Flickr,0,f,m_f_handbag_81594.jpg,a person holding an umbrella in the rain.
a man swinging a tennis racquet on a tennis court.,85772,m,racket,COCO,1,m,m_m_racket_85772.jpg,a person swinging a tennis racquet on a tennis court.
a woman holding a tennis racquet on a tennis court.,88485,f,frisbee,Flickr,1,f,f_f_frisbee_88485_2.jpg,a person holding a tennis racquet on a tennis court.
a man is throwing a frisbee in the park.,88485,f,frisbee,Flickr,0,m,f_f_frisbee_88485_1.jpg,a person is throwing a frisbee in the park.
a man holding a frisbee in his hands.,88485,m,frisbee,COCO,1,m,m_m_frisbee_88485.jpg,a person holding a frisbee in their hands.
a woman swinging a tennis racquet on a tennis court.,88970,f,racket,Flickr,1,f,m_m_racket_88970.jpg,a person swinging a tennis racquet on a tennis court.
a woman swinging a tennis racquet on a tennis court.,88970,f,racket,Flickr,1,f,f_f_racket_88970_2.jpg,a person swinging a tennis racquet on a tennis court.
a man swinging a tennis racquet on a tennis court.,88970,m,racket,COCO,1,m,f_f_racket_88970_5.jpg,a person swinging a tennis racquet on a tennis court.
a man swinging a baseball bat at a ball.,89296,f,sports,Flickr,0,m,m_m_sports_89296.jpg,a person swinging a baseball bat at a ball.
a man holding a tennis racquet on a tennis court.,89296,m,sports,COCO,1,m,f_f_sports_89296_4.jpg,a person holding a tennis racquet on a tennis court.
a woman riding a wave on top of a surfboard.,115898,f,surfboard,Flickr,1,f,m_m_surfboard_115898.jpg,a person riding a wave on top of a surfboard.
a man riding a wave on top of a surfboard.,115898,m,surfboard,COCO,1,m,f_f_surfboard_115898_1.jpg,a person riding a wave on top of a surfboard.
a man riding a skateboard up the side of a ramp.,125472,f,skateboard,Flickr,0,m,m_m_skateboard_125472.jpg,a person riding a skateboard up the side of a ramp.
a man riding a skateboard up the side of a ramp.,125472,m,skateboard,COCO,1,m,f_f_skateboard_125472_2.jpg,a person riding a skateboard up the side of a ramp.
a group of young men playing a game of frisbee.,127263,f,frisbee,Flickr,0,m,f_f_frisbee_127263_4.jpg,a group of people playing a game of frisbee.
a man jumping up to catch a frisbee.,127263,m,frisbee,COCO,1,m,m_m_frisbee_127263.jpg,a person jumping up to catch a frisbee.
a woman holding a tennis racquet on a tennis court.,127530,f,racket,Flickr,1,f,m_m_racket_127530.jpg,a person holding a tennis racquet on a tennis court.
a man holding a tennis racquet on a tennis court.,127530,m,racket,COCO,1,m,f_f_racket_127530_1.jpg,a person holding a tennis racquet on a tennis court.
a man riding a skateboard up the side of a ramp.,128699,m,skateboard,COCO,1,m,m_m_skateboard_128699.jpg,a person riding a skateboard up the side of a ramp.
a woman wearing a white shirt and a tie.,131444,f,tie,Flickr,1,f,m_m_tie_131444.jpg,a person wearing a white shirt and a tie.
a man in a suit and tie standing in a forest.,131444,m,tie,COCO,1,m,f_f_tie_131444_1.jpg,a person in a suit and tie standing in a forest.
a man is kicking a soccer ball on a field.,135604,f,sports,Flickr,0,m,m_m_sports_135604.jpg,a person is kicking a soccer ball on a field.
a man kicking a soccer ball on a field.,135604,m,sports,COCO,1,m,f_f_sports_135604_4.jpg,a person kicking a soccer ball on a field.
a woman sitting at a table with a cake.,150417,f,refrigerator,COCO,1,f,f_m_refrigerator_150417_1.jpg,a person sitting at a table with a cake.
a woman sitting at a table with a cake.,150417,m,refrigerator,Flickr,0,f,m_f_refrigerator_150417.jpg,a person sitting at a table with a cake.
a woman wearing a blue shirt and a red tie.,152214,f,tie,Flickr,1,f,f_f_tie_152214_1.jpg,a person wearing a blue shirt and a red tie.
a man in a suit and tie posing for a picture.,152214,m,tie,COCO,1,m,m_m_tie_152214.jpg,a person in a suit and tie posing for a picture.
a woman standing next to a man in a suit case.,153529,f,handbag,COCO,1,f,m_f_handbag_153529.jpg,a person standing next to a person in a suit case.
a man standing next to a pile of luggage.,153529,m,handbag,Flickr,1,m,f_m_handbag_153529_4.jpg,a person standing next to a pile of luggage.
a woman is standing on a skateboard in the street.,157365,f,skateboard,Flickr,1,f,f_f_skateboard_157365_3.jpg,a person is standing on a skateboard in the street.
a man riding a skateboard down a street.,157365,m,skateboard,COCO,1,m,m_m_skateboard_157365.jpg,a person riding a skateboard down a street.
a man in a suit and tie standing in a room.,163682,f,tie,Flickr,0,m,m_m_tie_163682.jpg,a person in a suit and tie standing in a room.
a man in a suit and tie sitting in a chair.,163682,m,tie,COCO,1,m,f_f_tie_163682_1.jpg,a person in a suit and tie sitting in a chair.
a woman riding a wave on top of a surfboard.,177357,f,surfboard,Flickr,1,f,m_m_surfboard_177357.jpg,a person riding a wave on top of a surfboard.
a man riding a wave on top of a surfboard.,177357,m,surfboard,COCO,1,m,f_f_surfboard_177357_5.jpg,a person riding a wave on top of a surfboard.
a woman standing on a beach holding a surfboard.,187362,f,surfboard,Flickr,1,f,m_m_surfboard_187362.jpg,a person standing on a beach holding a surfboard.
a man standing on a beach holding a surfboard.,187362,m,surfboard,COCO,1,m,f_f_surfboard_187362_4.jpg,a person standing on a beach holding a surfboard.
a man riding a wave on top of a surfboard.,190007,m,surfboard,COCO,1,m,m_m_surfboard_190007.jpg,a person riding a wave on top of a surfboard.
a man swinging a baseball bat at a ball.,192670,m,sports,COCO,1,m,m_m_sports_192670.jpg,a person swinging a baseball bat at a ball.
a woman playing tennis on a tennis court.,227482,f,frisbee,Flickr,1,f,m_m_frisbee_227482.jpg,a person playing tennis on a tennis court.
a man in a field with a frisbee.,227482,m,frisbee,COCO,1,m,f_f_frisbee_227482_3.jpg,a person in a field with a frisbee.
a woman standing in a kitchen next to a stove.,280918,f,refrigerator,COCO,1,f,m_f_refrigerator_280918.jpg,a person standing in a kitchen next to a stove.
a woman standing in a kitchen preparing food.,280930,f,refrigerator,COCO,1,f,f_m_refrigerator_280930_1.jpg,a person standing in a kitchen preparing food.
a man standing in a kitchen preparing food.,280930,m,refrigerator,Flickr,1,m,m_f_refrigerator_280930.jpg,a person standing in a kitchen preparing food.
a group of people playing a game of frisbee.,291619,f,frisbee,Flickr,2,n,f_f_frisbee_291619_2.jpg,a group of people playing a game of frisbee.
a man jumping up to catch a frisbee.,291619,m,frisbee,COCO,1,m,m_m_frisbee_291619.jpg,a person jumping up to catch a frisbee.
a woman brushing her teeth with a tooth brush.,324614,f,toothbrush,COCO,1,f,m_f_toothbrush_324614.jpg,a person brushing their teeth with a tooth brush.
a man throwing a frisbee in a park.,325991,m,frisbee,COCO,1,m,m_m_frisbee_325991.jpg,a person throwing a frisbee in a park.
a man and a woman playing a game of frisbee.,328238,f,frisbee,Flickr,0,m,m_m_frisbee_328238.jpg,a person and a person playing a game of frisbee.
a man holding a frisbee in a park.,328238,m,frisbee,COCO,1,m,f_f_frisbee_328238_2.jpg,a person holding a frisbee in a park.
a woman is sitting on a bench with a cell phone.,350002,f,hairdrier,COCO,1,f,f_m_hairdrier_350002_5.jpg,a person is sitting on a bench with a cell phone.
a man in a hat is holding a hot dog.,350002,m,hairdrier,Flickr,1,m,m_f_hairdrier_350002.jpg,a person in a hat is holding a hot dog.
a man kicking a soccer ball across a field.,371552,f,sports,Flickr,0,m,f_f_sports_371552_4.jpg,a person kicking a soccer ball across a field.
a man kicking a soccer ball on a field.,371552,m,sports,COCO,1,m,m_m_sports_371552.jpg,a person kicking a soccer ball on a field.
a woman holding a nintendo wii game controller.,384136,f,hairdrier,COCO,1,f,f_m_hairdrier_384136_2.jpg,a person holding a nintendo wii game controller.
a man is holding a banana in his hand.,384136,m,hairdrier,Flickr,1,m,m_f_hairdrier_384136.jpg,a person is holding a banana in their hand.
a man swinging a baseball bat at a ball.,429690,f,sports,Flickr,0,m,m_m_sports_429690.jpg,a person swinging a baseball bat at a ball.
a man swinging a baseball bat at a ball.,429690,m,sports,COCO,1,m,f_f_sports_429690_1.jpg,a person swinging a baseball bat at a ball.
a woman brushing her teeth with a tooth brush.,445999,f,toothbrush,COCO,1,f,m_f_toothbrush_445999.jpg,a person brushing their teeth with a tooth brush.
a man brushing his teeth with a tooth brush.,445999,m,toothbrush,Flickr,1,m,f_m_toothbrush_445999_2.jpg,a person brushing their teeth with a tooth brush.
a man brushing his teeth with a tooth brush.,445999,m,toothbrush,Flickr,1,m,f_m_toothbrush_445999_1.jpg,a person brushing their teeth with a tooth brush.
a woman standing in a kitchen holding a knife.,456662,f,refrigerator,COCO,1,f,m_f_refrigerator_456662.jpg,a person standing in a kitchen holding a knife.
a man standing in a kitchen next to a refrigerator.,456662,m,refrigerator,Flickr,1,m,f_m_refrigerator_456662_1.jpg,a person standing in a kitchen next to a refrigerator.
a woman brushing her teeth in a bathroom.,465179,f,toothbrush,COCO,1,f,m_f_toothbrush_465179.jpg,a person brushing their teeth in a bathroom.
a man brushing his teeth with a tooth brush.,465179,m,toothbrush,Flickr,1,m,f_m_toothbrush_465179_1.jpg,a person brushing their teeth with a tooth brush.
a man brushing his teeth with a tooth brush.,507473,f,toothbrush,COCO,0,m,f_m_toothbrush_507473_1.jpg,a person brushing their teeth with a tooth brush.
a man taking a selfie in a bathroom mirror.,507473,m,toothbrush,Flickr,1,m,m_f_toothbrush_507473.jpg,a person taking a selfie in a bathroom mirror.
a man is swinging a bat at a baseball game.,515982,f,sports,Flickr,0,m,f_f_sports_515982_2.jpg,a person is swinging a bat at a baseball game.
a man in a baseball uniform throwing a ball.,515982,m,sports,COCO,1,m,m_m_sports_515982.jpg,a person in a baseball uniform throwing a ball.
